MAP3K7	AKT_f	MAPK14	GSK3_f	MEK_f	PIK3CA	CTNNB1	JNK_f	RSK_f	IKBKB	TGFBR1	ACVR1	JAK_f	CK1_f	MYC	PTEN	STAT3	PDPK1	ROCK1	SYK	Prosurvival	Antisurvival	Shortest_distance_target	Shortest_distance_output
SOCS1	4	6	6	7	7	7	4	6	6	5	7	10	1	7	3	6	2	5	8	10	4	4	1	4
DUSP6	6	4	4	2	2	3	4	4	2	5	5	7	5	3	3	3	2	4	6	5	3	6	2	3
STAT3	6	4	4	5	5	6	6	4	4	5	6	8	5	5	1	4	0	3	6	8	2	6	0	2
LIMK2	9	9	11	10	11	9	9	9	11	9	6	12	6	11	8	7	7	10	8	6	9	9	6	9
EP300	5	3	3	4	4	4	5	3	4	2	2	4	5	5	4	2	3	5	4	5	5	5	2	5
STAT1	6	8	8	9	8	8	6	8	8	6	5	11	3	9	5	6	4	7	7	9	6	2	3	2
IKBKB	7	3	6	4	2	2	5	5	4	0	4	8	4	5	5	5	4	4	5	6	5	3	0	3
SRF	7	7	9	8	9	7	7	7	9	7	4	10	4	9	6	5	5	8	6	4	7	7	4	7
PIAS1	7	5	8	6	4	4	7	7	6	2	4	6	4	7	6	3	5	6	6	4	7	3	2	3
TRAF6	2	6	4	5	5	5	2	4	7	3	5	9	7	6	4	4	5	6	7	8	5	5	2	5
SOCS1_g	5	7	7	8	8	8	5	7	7	6	8	11	2	8	4	7	3	6	9	11	5	5	2	5
ISGF3_c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
STAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
CFLAR	9	6	7	7	7	7	8	6	8	5	6	8	7	8	5	4	4	7	3	9	6	3	3	3
SMAD2	6	4	7	5	5	6	6	7	5	6	3	5	4	6	5	6	4	7	5	4	6	6	3	6
MDM2_g	10	6	9	7	5	5	8	8	7	3	7	9	7	8	8	4	7	7	7	8	8	6	3	6
BAX	10	7	8	8	8	8	9	7	9	6	7	9	8	9	6	5	5	8	4	10	7	4	4	4
PRKACA	9	5	7	6	7	6	7	5	7	5	7	9	4	7	4	3	3	6	9	8	5	5	3	5
TGFB1	5	7	7	8	8	6	5	7	8	6	2	8	6	9	7	5	7	9	4	6	8	8	2	8
MAP3K8	7	4	5	3	1	4	5	5	3	5	6	8	5	4	4	4	3	3	6	6	4	6	1	4
TSC_f	7	2	5	3	3	5	4	4	5	5	5	7	5	6	4	4	3	5	4	5	5	4	2	4
SMAD4	6	4	7	5	5	6	6	7	5	6	3	5	3	6	5	6	4	7	5	3	6	6	3	6
BAD	11	8	9	9	9	9	10	8	10	7	8	10	9	10	7	6	6	9	5	11	8	5	5	5
MAP3K5	4	5	2	3	6	6	5	4	5	4	6	8	6	4	4	4	3	4	7	6	5	5	2	5
AKT1S1	8	4	6	3	4	4	5	6	4	5	6	8	7	5	3	4	2	5	6	7	4	6	2	4
SKI	6	4	4	3	5	5	5	4	5	3	3	5	4	6	4	3	4	6	5	4	5	6	3	5
SMAD3	6	4	7	5	5	6	6	7	5	6	3	5	3	6	5	6	4	7	5	3	6	6	3	6
MAPKAPK2	8	5	8	6	4	4	7	7	6	2	5	7	5	6	2	4	6	6	7	5	3	4	2	3
DUSP1_g	4	5	2	3	6	6	5	2	5	4	5	7	6	4	4	4	3	4	7	6	5	5	2	5
MSK_f	4	5	2	3	6	6	5	2	5	4	4	7	6	4	4	4	3	4	6	6	5	5	2	5
GRAP2	4	5	2	3	6	6	5	2	5	4	5	7	6	4	4	4	3	4	7	6	5	5	2	5
TAB_f	1	5	3	4	4	4	6	3	6	2	6	8	6	5	4	5	4	5	7	7	5	4	1	4
ATF2	6	8	8	9	8	6	6	7	8	7	9	12	3	9	5	8	4	7	7	3	6	6	3	6
SMAD5	7	5	8	6	6	7	7	8	6	7	4	6	4	7	6	7	5	8	6	4	7	7	4	7
SMAD1	7	5	5	2	6	7	4	4	6	5	4	6	4	6	3	3	5	7	4	4	4	7	2	4
FOS	6	6	8	7	8	6	6	6	8	6	3	9	3	8	5	4	4	7	5	3	6	6	3	6
JUN	6	8	8	9	8	6	6	7	8	7	3	9	3	9	5	6	4	7	5	3	6	6	3	6
MAP3K7	0	4	2	3	3	3	5	2	5	1	5	7	5	4	3	4	3	4	6	6	4	3	0	3
NLK	7	5	5	6	6	7	6	5	5	6	7	9	6	5	2	4	5	4	7	9	3	2	2	2
SMAD7_g	5	3	6	4	4	5	5	6	4	5	2	4	5	5	4	5	3	6	4	5	5	5	2	5
SMAD6_g	5	6	7	4	7	6	5	6	7	6	2	7	5	8	5	5	6	9	5	5	6	8	2	6
AP1_c	5	7	7	8	7	5	5	6	7	6	8	11	2	8	4	7	3	6	6	2	5	5	2	5
ACVR1	7	5	6	3	6	7	5	5	6	6	4	0	4	7	4	4	5	8	5	4	5	7	0	5
PTPN6	8	6	6	7	7	8	8	6	6	7	7	10	1	7	3	6	2	5	8	10	4	4	1	4
CDC42	8	3	6	4	5	8	5	2	7	6	5	7	6	4	4	5	3	6	7	6	5	5	2	5
GRB2	9	4	7	5	4	2	6	6	6	7	7	9	6	7	6	6	6	6	6	6	7	6	2	6
TGFBR1	3	5	5	6	6	4	3	5	6	4	0	6	4	7	5	4	5	7	3	4	6	6	0	6
SMURF1	4	3	6	3	4	5	4	5	4	5	1	2	4	5	4	3	3	6	2	4	5	5	1	5
SMURF2	4	3	6	4	4	5	4	6	4	5	1	2	5	5	4	5	3	6	4	5	5	5	1	5
RHOA	8	4	6	5	6	6	6	4	8	4	6	8	7	6	6	2	5	8	1	7	7	6	1	6
BMPR2	8	6	7	4	7	8	6	6	7	7	5	1	5	8	5	5	6	9	6	5	6	8	1	6
PARD6A	9	5	7	6	7	7	7	5	9	5	7	9	8	7	7	3	6	9	2	8	8	7	2	7
DAAM1	9	5	7	6	7	7	7	5	9	5	7	9	8	7	7	3	6	9	2	8	8	7	2	7
SFRP1_g	9	7	7	4	8	9	5	6	8	7	6	8	8	4	5	5	7	9	6	8	6	9	4	6
PPM1A	6	4	6	3	3	3	3	5	5	1	3	5	4	6	4	4	4	5	5	4	5	4	1	4
CFL_f	8	8	10	9	10	8	8	8	10	8	5	11	5	10	7	6	6	9	7	5	8	8	5	8
PAK1	7	2	5	3	4	7	4	1	6	5	4	6	5	3	3	4	2	5	6	5	4	4	1	4
MAP3K11	4	5	2	3	6	6	5	2	5	4	5	7	6	4	4	4	3	4	7	6	5	5	2	5
MAP3K4	4	5	2	3	6	6	5	2	5	4	5	7	6	4	4	4	3	4	7	6	5	5	2	5
LIMK1	9	9	11	10	11	9	9	9	11	9	6	12	6	11	8	7	7	10	8	6	9	9	6	9
ROCK1	7	3	5	4	5	5	5	3	7	3	5	7	6	5	5	1	4	7	0	6	6	5	0	5
ITCH	5	3	5	2	4	5	4	4	4	5	2	4	5	5	3	3	3	6	4	5	4	4	2	4
ARHGAP24	6	4	4	5	6	8	6	3	7	6	6	8	7	5	5	4	4	6	3	7	6	6	3	6
TIAM1	6	4	4	5	6	8	6	3	7	6	6	8	7	5	5	4	4	6	3	7	6	6	3	6
RND3	9	5	7	6	7	7	7	5	9	5	7	9	8	7	7	3	6	9	2	8	8	7	2	7
MAPK8IP3	8	6	7	5	7	8	5	2	7	8	5	7	6	4	4	6	3	6	7	6	5	7	2	5
MXD1	10	8	9	6	9	10	6	8	9	9	7	9	10	5	1	7	8	10	8	10	2	10	1	2
PIP3	6	1	4	2	3	6	3	5	5	4	4	6	5	6	3	3	4	5	5	5	4	3	1	3
