node_ko	drugs	growth	nb_fixpoints	stable_state
MAP3K7%0	5Z	2.0	1	11113111111011001011011010111010110100001100001111111100111111010110101111111111101101011001110110010000101111010110011111111000110001111101010001
AKT_f%0	AK	1.0	1	11113111111001001010011111111011110100011100001011012101111111011110101111101111110111011000010111010111101111000111111111011000110001111111101101
MAPK14%0	BI	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110001111101010001
GSK3_f%0	CT	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110001111101010001
MEK_f%0	PD	2.0	1	11112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111111111000110001111101010001
PIK3CA%0	PI	3.0	1	11113111111011001000011111111010110100001100001111110000011111011110101111111111101111011001110111010000101111010111111111111000110001111101010000
CTNNB1%0	PK	3.0	1	11113111111011001000011111100010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110001111101010001
JNK_f%0	JN	n/a	0	-
RSK_f%0	D1	2.0	1	11112111111011001000011111111010110100001100001111110000111111011110101111011111101111011001110111010000101111010111111111111000110001111101010001
IKBKB%0	60	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111101101011001110110010000101111010111111111111000110001111101010001
TGFBR1%0,ACVR1%0	SB	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111000111111101110000110001111101010001
JAK_f%0	RU	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110001111101010001
CK1_f%0,TGFBR1%0	D4	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111110000110001111101010001
MYC%0	F4	2.0	1	11112111111011001000001111111100110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110101111101010001
STAT3%0	ST	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111001111011001110111010000101111010111111111111000110001111101010001
PDPK1%0	G2	1.0	1	11111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111111111000110101111101010010
ROCK1%0	G4	3.0	1	11113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111111111000110001111101010001
SYK%0	P5	3.0	1	11113111011011001000011111111010110100001100001111110000111111011110100001111111101111011001110111010000101111010111111111111000110001111101010001
MAP3K7%0,AKT_f%0	5Z-AK	0.0	1	11113111111001001021011010111011110100011100001011013101111111011110101111101111110101011000010110010111101111000110011111011000110001111111101101
MAP3K7%0,MAPK14%0	5Z-BI	2.0	1	11113111111011001011011010111010110100001100001111111100111111010110101111111111101101011001110110010000101111010110011111111000110001111101010001
MAP3K7%0,GSK3_f%0	5Z-CT	2.0	1	11113111111011001011011010111010110100001100001111111100111111010110101111111111101101011001110110010000101111010110011111111000110001111101010001
MAP3K7%0,MEK_f%0	5Z-PD	1.0	1	11112111111010001011011010111010110100001000001111111100111111010010111111011111101101011001110110010000100011010110011111111000110001111101010001
MAP3K7%0,PIK3CA%0	5Z-PI	2.0	1	11113111111011001011011010111010110100001100001111111100011111010110101111111111101101011001110110010000101111010110011111111000110001111101010000
