mutated_node	node_ko	drugs	growth	nb_fixpoints	stable_state
SRC%0	MAP3K7%0,ROCK1%0	5Z-G4	2.0	1	01113111111011001011011010111010110100001100001111111100111111010110101111111111101101011001110110010000101111010110011110011000110001111101010001
SRC%0	MAP3K7%0,SYK%0	5Z-P5	2.0	1	01113111011011001011011010111010110100001100001111111100111111010110100001111111101101011001110110010000101111010110011110011000110001111101010001
SRC%0	AKT_f%0,MAPK14%0	AK-BI	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111110111011000010111010111101111000111111110001000110011111111101100
SRC%0	AKT_f%0,GSK3_f%0	AK-CT	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111110111011000010111010111101111000111111110001000110011111111101100
SRC%0	AKT_f%0,MEK_f%0	AK-PD	n/a	0	-
SRC%0	AKT_f%0,PIK3CA%0	AK-PI	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111110111011000010111010111101111000111111110001000110011111111101100
SRC%0	AKT_f%0,CTNNB1%0	AK-PK	1.0	1	01113111110001001010011111100011110100001100001010012111010011011100001111101111110111011000010111010111101111000111111110001000110011111111101100
SRC%0	AKT_f%0,JNK_f%0	AK-JN	n/a	0	-
SRC%0	AKT_f%0,RSK_f%0	AK-D1	-1.0	1	01111111110001001010001111111101110100001100001000012111010011011100001111001111110111011000010111011111101111000111111110001000110111111111101110
SRC%0	AKT_f%0,IKBKB%0	AK-60	n/a	0	-
SRC%0	AKT_f%0,TGFBR1%0,ACVR1%0	AK-SB	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111110111011000010111010111101111000111111100000000110011111111101100
SRC%0	AKT_f%0,JAK_f%0	AK-RU	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111110111011000010111010111101111000111111110001000110011111111101100
SRC%0	AKT_f%0,CK1_f%0,TGFBR1%0	AK-D4	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111110111011000010111010111101111000111111110000000110011111111101100
SRC%0	AKT_f%0,MYC%0	AK-F4	0.0	1	01112111110001001010001111111101110100001100001010012111010011011100001111101111110111011000010111010111101111000111111110001000110111111111101100
SRC%0	AKT_f%0,STAT3%0	AK-ST	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111010111011000010111010111101111000111111110001000110011111111101100
SRC%0	AKT_f%0,PDPK1%0	AK-G2	-1.0	1	01111111110001001010001111111101110100000100001000012111010011011100001111000111110111011000010111011111101111000111111110001000110111111111101110
SRC%0	AKT_f%0,ROCK1%0	AK-G4	1.0	1	01113111110001001010011111111011110100001100001010012111010011011100001111101111100111011000010111010111101111000111111110001000110011111101010000
SRC%0	AKT_f%0,SYK%0	AK-P5	1.0	1	01103111010001001010011111111011110100001100001010012111010011011100000001101011110111011000010111010111101111000111111110001000110011000111101100
SRC%0	MAPK14%0,GSK3_f%0	BI-CT	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	MAPK14%0,MEK_f%0	BI-PD	2.0	1	01112111111010001000011111111010110100001000001111110000111111011010111111011111101111011001110111010000100011010111111110011000110001111101010001
SRC%0	MAPK14%0,PIK3CA%0	BI-PI	3.0	1	01113111111011001000011111111010110100001100001111110000011111011110101111111111101111011001110111010000101111010111111110011000110001111101010000
SRC%0	MAPK14%0,CTNNB1%0	BI-PK	3.0	1	01113111111011001000011111100010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
