node_ko	drugs	growth	nb_fixpoints	stable_state
MAP3K7%0,ROCK1%0	5Z-G4	2.0	1	11113011111111010111111010111010111001111100001111111100111110110110111111111101101001110011010110000000111101100110000101111110011001111101010001
MAP3K7%0,SYK%0	5Z-P5	2.0	1	11113011011111010111111010111010111001111100001111111100111110110110110001111101101001110011010110000000111101100110000101111110011001111101010001
AKT_f%0,MAPK14%0	AK-BI	0.0	2	11103011100101000010011111111011001100011100001011013111110111011110011111101011110111011110000111000111101111001111100111001000111011000111101101;11103011100101010010011111111011001100011100001011013111110111011110011111101011110111011110000111000111101111000111100101001110011011000111101101;
AKT_f%0,GSK3_f%0	AK-CT	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101101111100111001000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101001110011011000111101101;
AKT_f%0,MEK_f%0	AK-PD	n/a	0	-
AKT_f%0,PIK3CA%0	AK-PI	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101101111100111001000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101001110011011000111101100;
AKT_f%0,CTNNB1%0	AK-PK	1.0	2	11103011110101000010011111100011111100011100001011012111110111111110011111101001110011110010010111000111111101101111100111001000111011000111101101;11103011110101010010011111100011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101001110011011000111101101;
AKT_f%0,JNK_f%0	AK-JN	2.0	1	11113001110101010010011111111010111100011100001011011110110111101110011111101101100011110011010101000111111101100101100101100110001011111100010001
AKT_f%0,RSK_f%0	AK-D1	-1.0	2	11101011110101000110101111111101111001011100001001012111110111111110011111001001110011110010010111001111111101101111100111001000111111000111101111;11101011110101010110101111111101110001011100001001012111110111111110011111001001110011110010010111001111111101100111100101001110010111000111101111;
AKT_f%0,IKBKB%0	AK-60	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110001110010010110000111111101101111100111001000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110001110010010110000111111101100111100101001110011011000111101101;
AKT_f%0,TGFBR1%0,ACVR1%0	AK-SB	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101000000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101000110011011000111101101;
AKT_f%0,JAK_f%0	AK-RU	1.0	2	11103011110001000010011111111011111100011100001011012111110111111110011111101001110011110000010111000111111101101111100111001000111011000111101101;11103011110001010010011111111011111100011100001011012111110111111110011111101001110011110000010111000111111101100111100101001110011011000111101101;
AKT_f%0,CK1_f%0,TGFBR1%0	AK-D4	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101101111100111000000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001110011110010010111000111111101100111100101000110011011000111101101;
AKT_f%0,MYC%0	AK-F4	0.0	2	11102011110101000110101111111101111001011100001011012111110111111110011111101001110011110010010111000111111101101111100111001000111111000111101101;11102011110101010110101111111101110001011100001011012111110111111110011111101001110011110010010111000111111101100111100101001110010111000111101101;
AKT_f%0,STAT3%0	AK-ST	1.0	2	11103011110101000010011111111011111100011100001011012111110111111110011111101001010011110010010111000111111101101111100111001000111011000111101101;11103011110101010010011111111011111100011100001011012111110111111110011111101001010011110010010111000111111101100111100101001110011011000111101101;
AKT_f%0,PDPK1%0	AK-G2	-1.0	2	11101011110101000110101111111101111001010100001001012111110111111110011111001001110011110010010111001111111101101111100111001000111111000111101111;11101011110101010110101111111101110001010100001001012111110111111110011111001001110011110010010111001111111101100111100101001110010111000111101111;
AKT_f%0,ROCK1%0	AK-G4	1.0	2	11113011110101000010011111111011111100011100001011012111110111111110011111101101100011110010010111000111111101101111100111101000111011111101010001;11113011110101010010011111111011111100011100001011012111110111111110011111101101100011110010010111000111111101100111100101101110011011111101010001;
AKT_f%0,SYK%0	AK-P5	1.0	2	11103011010101000010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101101111100111001000111011000111101100;11103011010101010010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101100111100101001110011011000111101100;
MAPK14%0,GSK3_f%0	BI-CT	2.0	1	11113011100111010000011111111010001100011100001111111010110111011110011111111111101111011111000111000000101111000111100101101110011011111101010001
MAPK14%0,MEK_f%0	BI-PD	1.0	1	11112011100110010000011111111010001100011000001111111010111111011010111111011111101111011111000111000000100011000111100101101110011011111101010001
MAPK14%0,PIK3CA%0	BI-PI	0.0	2	11103011100101000010011111111011001100011100001011013111010111011110011111101011110111011110000111000111101111001111100111001000111011000111101100;11103011100101010010011111111011001100011100001011013111010111011110011111101011110111011110000111000111101111000111100101001110011011000111101100;
MAPK14%0,CTNNB1%0	BI-PK	2.0	1	11113011100111010000011111100010001100011100001111111010110111011110011111111111101111011111000111000000101111000111100101101110011011111101010001
MAPK14%0,JNK_f%0	BI-JN	2.0	2	11013000000001010010011111111010001100011100001010011110000011001100000001101111100111001001000101000111001111000101100001100110001011111100010000;11113001100111010000011111111010001100011100001111111010110111001110011111111111101111001111000101000000001111000101100001100110001011111100010001;
MAPK14%0,RSK_f%0	BI-D1	1.0	1	11112011100111010000011111111010001100011100001111111010110111011110011111011111101111011111000111000000101111000111100101101110011011111101010001
MAPK14%0,IKBKB%0	BI-60	2.0	1	11113011100111010000011111111010001100011100001111111010110111011110011111111111101101011111000110000000101111000111100101101110011011111101010001
MAPK14%0,TGFBR1%0,ACVR1%0	BI-SB	2.0	1	11113011100111010000011111111010001100011100001111111010110111011110011111111111101111001111000111000000101111000111100101100110011011111101010001
MAPK14%0,JAK_f%0	BI-RU	3.0	1	11113011100011010000011111111010001100011100001111110010110111011110011111111111101111011001000111000000101111000111100101101110011011111101010001
MAPK14%0,CK1_f%0,TGFBR1%0	BI-D4	2.0	1	11113011100111010000011111111010001100011100001111111010110111011110011111111111101111001111000111000000101111000111100101100110011011111101010001
MAPK14%0,MYC%0	BI-F4	1.0	1	11112011100111010100101111111100000001011100001111111010110111011110011111111111101111011111000111000000101111000111100101101110010111111101010001
MAPK14%0,STAT3%0	BI-ST	2.0	1	11113011100111010000011111111010001100011100001111111010110111011110011111111111001111011111000111000000101111000111100101101110011011111101010001
MAPK14%0,PDPK1%0	BI-G2	0.0	1	11111011100111010100101111111100000001010100001111111010110111011110011110000111111111011111000111000000101111000111100101101110010111111101010011
MAPK14%0,ROCK1%0	BI-G4	2.0	1	11113011100111010000011111111010001100011100001111111010110111011110011111111111101111011111000111000000101111000111100101101110011011111101010001
MAPK14%0,SYK%0	BI-P5	0.0	2	11103011000101000010011111111011001100011100001010013111010011011100000001101011110111011110000111000111101111001111100111001000111011000111101100;11103011000101010010011111111011001100011100001010013111010011011100000001101011110111011110000111000111101111000111100101001110011011000111101100;
GSK3_f%0,MEK_f%0	CT-PD	2.0	1	11112101110110010000011111111010111100011000001111110010111111101010111111011101101011110011010101000000111101000101100101100110001011111100010001
GSK3_f%0,PIK3CA%0	CT-PI	1.0	2	11103011110101000010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101101111100111001000111011000111101100;11103011110101010010011111111011111100011100001011012111010111111110011111101001110011110010010111000111111101100111100101001110011011000111101100;
GSK3_f%0,CTNNB1%0	CT-PK	3.0	1	11113011110111010000011111100010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110011011111101010001
GSK3_f%0,JNK_f%0	CT-JN	3.0	1	11113001110111010000011111111010111100011100001111110010110111101110011111111101101011110011010101000000111101100101100101100110001011111100010001
GSK3_f%0,RSK_f%0	CT-D1	2.0	1	11112011110111010000011111111010111100011100001111110010110111111110011111011101101011110011010111000000111101100111100101101110011011111101010001
GSK3_f%0,IKBKB%0	CT-60	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101001110011010110000000111101100111100101101110011011111101010001
GSK3_f%0,TGFBR1%0,ACVR1%0	CT-SB	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
GSK3_f%0,JAK_f%0	CT-RU	3.0	1	11113011110011010000011111111010111100011100001111110010110111111110011111111101101011110001010111000000111101100111100101101110011011111101010001
GSK3_f%0,CK1_f%0,TGFBR1%0	CT-D4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
GSK3_f%0,MYC%0	CT-F4	2.0	1	11112011110111010100101111111100110001011100001111110010110111111110011111111101101011110011010111000000111101100111100101101110010111111101010001
